city,stationname,devid,time,AQI,PM25,PM10,CO,SO2,NO2,O3,prkey
北京,"万寿西宫",1001A,2017060800,68,49,74,0.9,6,43,104,"细颗粒物(PM2.5)"
北京,"定陵",1002A,2017060800,16,3,6,0.3,2,9,51,"无"
北京,"东四",1003A,2017060800,63,45,74,1.1,10,39,100,"细颗粒物(PM2.5)"
北京,"天坛",1004A,2017060800,54,38,46,0.6,2,32,92,"细颗粒物(PM2.5)"
北京,"农展馆",1005A,2017060800,61,42,72,0.8,11,42,129,"颗粒物(PM10)"
北京,"官园",1006A,2017060800,71,40,91,0.5,10,2,102,"颗粒物(PM10)"
北京,"海淀区万柳",1007A,2017060800,68,44,85,0.6,7,59,81,"颗粒物(PM10)"
北京,"顺义新城",1008A,2017060800,63,32,75,0.8,2,104,2,"颗粒物(PM10)"
北京,"怀柔镇",1009A,2017060800,21,13,0,0.3,2,12,66,"无"
北京,"昌平镇",1010A,2017060800,23,16,16,0.2,2,20,58,"无"
北京,"奥体中心",1011A,2017060800,56,38,61,0.7,8,39,112,"颗粒物(PM10)"
北京,"古城",1012A,2017060800,73,43,96,0.8,3,58,99,"颗粒物(PM10)"
北京,"万寿西宫",1001A,2017060801,67,48,69,0.9,4,49,78,"细颗粒物(PM2.5)"
北京,"定陵",1002A,2017060801,20,3,6,0.3,2,8,62,"无"
北京,"东四",1003A,2017060801,65,47,79,1.2,9,43,85,"颗粒物(PM10),细颗粒物(PM2.5)"
北京,"天坛",1004A,2017060801,63,45,74,0.5,3,33,87,"细颗粒物(PM2.5)"
北京,"农展馆",1005A,2017060801,62,43,74,0.8,12,35,126,"颗粒物(PM10)"
北京,"官园",1006A,2017060801,74,47,98,0.6,8,0,80,"颗粒物(PM10)"
北京,"海淀区万柳",1007A,2017060801,74,43,97,0.6,5,64,68,"颗粒物(PM10)"
北京,"顺义新城",1008A,2017060801,48,25,48,0.6,2,72,30,"无"
北京,"怀柔镇",1009A,2017060801,20,8,16,0.3,2,11,63,"无"
北京,"昌平镇",1010A,2017060801,21,10,21,0.3,2,21,56,"无"
北京,"奥体中心",1011A,2017060801,59,40,67,0.7,7,52,92,"颗粒物(PM10)"
北京,"古城",1012A,2017060801,73,43,95,0.9,2,88,37,"颗粒物(PM10)"
北京,"万寿西宫",1001A,2017060802,72,52,72,1.0,4,55,57,"细颗粒物(PM2.5)"
北京,"定陵",1002A,2017060802,19,10,0,0.3,2,8,59,"无"
北京,"东四",1003A,2017060802,73,53,83,1.2,10,50,65,"细颗粒物(PM2.5)"
北京,"天坛",1004A,2017060802,66,43,81,0.5,2,36,66,"颗粒物(PM10)"
北京,"农展馆",1005A,2017060802,67,47,83,1.1,14,45,95,"颗粒物(PM10)"
北京,"官园",1006A,2017060802,73,44,96,0.8,0,0,160,"颗粒物(PM10)"
北京,"海淀区万柳",1007A,2017060802,62,36,74,0.6,3,75,35,"颗粒物(PM10)"
北京,"顺义新城",1008A,2017060802,42,25,42,0.5,2,46,48,"无"
北京,"怀柔镇",1009A,2017060802,20,10,13,0.3,2,11,62,"无"
北京,"昌平镇",1010A,2017060802,28,17,28,0.2,2,21,45,"无"
北京,"奥体中心",1011A,2017060802,60,40,70,0.8,4,88,42,"颗粒物(PM10)"
北京,"古城",1012A,2017060802,39,27,31,0.6,2,63,41,"无"
北京,"万寿西宫",1001A,2017060803,67,48,70,1.0,3,60,36,"细颗粒物(PM2.5)"
北京,"定陵",1002A,2017060803,23,16,0,0.3,2,9,59,"无"
北京,"东四",1003A,2017060803,70,51,84,1.3,5,62,31,"细颗粒物(PM2.5)"
北京,"天坛",1004A,2017060803,65,42,80,0.5,2,34,36,"颗粒物(PM10)"
北京,"农展馆",1005A,2017060803,72,52,87,1.2,8,61,51,"细颗粒物(PM2.5)"
北京,"官园",1006A,2017060803,35,24,0,0.6,0,0,26,"无"
北京,"海淀区万柳",1007A,2017060803,37,17,0,0.3,2,73,16,"无"
北京,"顺义新城",1008A,2017060803,31,20,31,0.5,2,52,31,"无"
北京,"怀柔镇",1009A,2017060803,20,6,12,0.2,2,10,61,"无"
北京,"昌平镇",1010A,2017060803,33,16,33,0.2,9,14,31,"无"
北京,"奥体中心",1011A,2017060803,55,28,30,0.6,4,110,2,"二氧化氮"
北京,"古城",1012A,2017060803,35,24,35,0.7,2,45,40,"无"
北京,"万寿西宫",1001A,2017060804,65,47,55,0.9,3,54,30,"细颗粒物(PM2.5)"
北京,"定陵",1002A,2017060804,29,20,0,0.2,2,11,62,"无"
